AUX, ATTR, ADJ, NSUBJ, 
is, game, good, That, Please do very big map, and this map is aquapark. And do new details and shirts for skins. That is wery good game and i like it. If you can than please do fire station map where players need to extinguish the fire and go down the pole and do other quests (You can do it yourself).
's, game, nice, It, It's a nice game
's, smooth, liquid, it, Yeah, don't even bother trying to play multiplayer because it's so laggy that most of the time the controls are unresponsive to the gameplay. One moment it's liquid smooth, and then the next it's laggy as hell. And if that wasn't bad enough, there's no way to turn down the graphics. And for some reason, there's no gamepad support. But if you can handle all of this, then take my advice, and just stick to single-player! It's much funner that way...
is, game, nice, it, Perfect I love the new forest update on my switch but I didn't have the new year update I don't now if it was just a GliTch but idk Of course it is a nice game to play.
is, game, great, This, This is really a great game I can play with my friends and this so funny 😂
'm, one, only, I, I love this game it is so fun by the way I am on Samsung phone you should play this game if you don't play this game I hope doesn't get deleted human fall flat is fun I love human fall flat by the way I get angry sometimes because there's a glitch that make your hands not stick sometimes whenever move your hands so if you see this comment please patch that glitch I'm the only one that the glitch comes for so I'm the only person that has the glitch so please fix it ok.
'm, person, only, I, I love this game it is so fun by the way I am on Samsung phone you should play this game if you don't play this game I hope doesn't get deleted human fall flat is fun I love human fall flat by the way I get angry sometimes because there's a glitch that make your hands not stick sometimes whenever move your hands so if you see this comment please patch that glitch I'm the only one that the glitch comes for so I'm the only person that has the glitch so please fix it ok.
's, Game, fantastic, It, It's fantastic Game and it's very good it's excellent
is, game, good, it, I think it is a good game but you can probably play with your friends because you need for 5 stupid websites
's, game!But, great, it, I love this game,it's a great game!But right now I'm kinda struggling.Everytime I open the game,a gray screen with black dots pops up and sometimes a white screen,I have no idea what to do.Other than that great game!
's, game, great, It, It's a great game, but theirs a glitch where when I try and move the joy stick left, I goes right instead. If that glitch didn't exist or was fixed, I would rate this game 5 stars. Please fix it.
is, reason, only, this, This game is really fun like so fun this is the only reason I downloaded it well because I had two friends that are YouTubers one is called Mr beast and one is called fgteev they play human fall flat so this is why I wanted to download it please do not update this game unless it's on something else then the trying to jump in parkour because parkouring was hard for me a bit ago but now it's really easy to parkour. 👑♥️💎🐇🍦🍨🥀
's, fun, real, It, It's a real fun and silly game! But there is one thing that is happening to me in the multiplayer, I have Google play, but it wants me to let it in my personal information. And I dont know why. If you are reading this. Whoever made the game. Please fix it. Overall, it's a amazing game. It is actually really fun Thanks for creating this game. But, please fix that. I dont want my personal information known. So, fix it. Please and thank you! ☺😊
's, game, amazing, it, It's a real fun and silly game! But there is one thing that is happening to me in the multiplayer, I have Google play, but it wants me to let it in my personal information. And I dont know why. If you are reading this. Whoever made the game. Please fix it. Overall, it's a amazing game. It is actually really fun Thanks for creating this game. But, please fix that. I dont want my personal information known. So, fix it. Please and thank you! ☺😊
is, game, best, this, I love it so much this is the best game ever
is, game, great, This, This is not a great game at all happy now
is, game, happy, This, This is not a great game at all happy now
is, game, fun, it, it is a fun game but if you like using wasd or arow keys do not get it on chromebook creators of the game fix this if you dont want a mad customor
am, 😞, depressed, i, Too much laggs with the new update Its unplayable... I got so nervous and deleted it in the mean time Hope you fix it soon I was glad when i see the new levels Now i am so depressed 😞
is, game, cool, It, It is a cool game but it is not easy on phones ot is horrible on phone
is, game, excite, it, The game is good and excite but it has some problems .. the problem is .. some levels is hard .. but it is very excite game .. Install 😁( Human Fall Flat )😁
is, fun, much, it, it is so much fun in updating ot now 👁👅👁
is, game, good, This, This is a very good game, sometime it glitches but mostly because I made it, it was very funny and I hope this game gets more 5 stars. If I could add anything it would be a play dead button, or lay down. Maybe you can add a custom design system? But other than that this game is really good and I recommend playing it. 👌
is, game, best, this, Best expirence I've had love the levels and playing with friends (always throwing each other off) also I would like there to be more outfits and models i think that would be cool and this is probably best game I ever played I think everyone would enjoy this just like I do
's, game, good, It, It's a good game just add controller support but it's fun
is, game, good, It, It is a very good game but the constant disconnections on multiplayer is outrageous
's, app, great, It, It's a great app. But could you possibly add more models? Or make it to where we can customize more freely?
is, game, good, This, This is a really good game! I really like the detalis that this game has and like that you can play with other people.
is, game, great, it, Good game it is hard to get used to the controls but once you do that it is a great game and unlike most others you can play any keep up the good work
was, game, fun, it, I heard it was a fun game and its true I got this idea from itsfunneh and krew
's, game, weird, It, It's just a really weird, fun game.
's, game, good, It, It's a good game if you want
is, game, awesome, This, This is a awesome game you can play with your friends and have lots of fun 😁
was, waste, laggy, it, I paid for the game but was not able to play it for months now due to lag issues. I cannot even jump cause it was too laggy... waste of money
's, play, fun, it, Everyone could play this game because it's so fun play it right now
is, time, very, It, It is very time pass game but he is very good game and play. Online
is, game, good, he, It is very time pass game but he is very good game and play. Online
was, weekend, last, which, Ever since I got a new phone which was last weekend I haven't been able to play. I have the Moto g power 2021 and whenever I try to play it would give me the titles then go to an imidiate white screen. I really like this game but im extremely upset. Could you please fix this? or give me a refund.
's, game, fun, it, It's ok it has a lot of maps but it as no costimize eyes otherwise it's a fun game and you should install it.
's, game, fun, it, It's ok it has a lot of maps but it as no costimize eyes otherwise it's a fun game and you should install it.
